filename,width,height,class,xmin,ymin,xmax,ymax,path
00_s_DSCF1094.JPG,300,225,4,113,85,194,133,/home/sha_maayan/busProject/6_classes/augmentation/aug_images/
00_s_DSCF1133.JPG,300,225,1,111,98,204,167,/home/sha_maayan/busProject/6_classes/augmentation/aug_images/
00_s_DSCF1101.JPG,300,225,2,83,88,158,129,/home/sha_maayan/busProject/6_classes/augmentation/aug_images/
00_s_DSCF1116.JPG,300,225,5,126,119,208,162,/home/sha_maayan/busProject/6_classes/augmentation/aug_images/
00_s_DSCF1141.JPG,300,225,2,147,54,211,77,/home/sha_maayan/busProject/6_classes/augmentation/aug_images/
00_s_DSCF1090.JPG,300,225,1,157,64,213,94,/home/sha_maayan/busProject/6_classes/augmentation/aug_images/
00_s_DSCF1140.JPG,300,225,6,141,48,206,72,/home/sha_maayan/busProject/6_classes/augmentation/aug_images/
00_s_DSCF1044.JPG,300,225,6,120,98,197,141,/home/sha_maayan/busProject/6_classes/augmentation/aug_images/
00_s_DSCF1038.JPG,300,225,2,99,145,243,210,/home/sha_maayan/busProject/6_classes/augmentation/aug_images/
00_s_DSCF1017.JPG,300,225,4,150,57,215,92,/home/sha_maayan/busProject/6_classes/augmentation/aug_images/
00_s_DSCF1135.JPG,300,225,6,148,101,197,130,/home/sha_maayan/busProject/6_classes/augmentation/aug_images/
00_s_DSCF1032.JPG,300,225,5,11,98,92,137,/home/sha_maayan/busProject/6_classes/augmentation/aug_images/
00_s_DSCF1032.JPG,300,225,6,192,92,267,130,/home/sha_maayan/busProject/6_classes/augmentation/aug_images/
00_s_DSCF1013.JPG,300,225,1,100,138,140,155,/home/sha_maayan/busProject/6_classes/augmentation/aug_images/
00_s_DSCF1013.JPG,300,225,2,145,133,184,151,/home/sha_maayan/busProject/6_classes/augmentation/aug_images/
00_s_DSCF1013.JPG,300,225,3,190,128,228,147,/home/sha_maayan/busProject/6_classes/augmentation/aug_images/
00_s_DSCF1013.JPG,300,225,4,105,150,146,169,/home/sha_maayan/busProject/6_classes/augmentation/aug_images/
00_s_DSCF1013.JPG,300,225,5,154,147,194,166,/home/sha_maayan/busProject/6_classes/augmentation/aug_images/
00_s_DSCF1013.JPG,300,225,6,199,143,238,162,/home/sha_maayan/busProject/6_classes/augmentation/aug_images/
00_s_DSCF1064.JPG,300,225,3,197,29,263,72,/home/sha_maayan/busProject/6_classes/augmentation/aug_images/
00_s_DSCF1064.JPG,300,225,2,48,60,124,108,/home/sha_maayan/busProject/6_classes/augmentation/aug_images/
